llama2_stat:
model_size: 12852.508 MB
model_compression_ratio: 31.25 % in bits
saved_space: 4016.978 MB in bits
model_compression_ratio: 31.21 % aligned by pagesize
saved_space: 4010.867 MB aligned by pagesize
model_average_access: 33745099.59 pages
model_max_access: 55843960.07 pages
frac: stats in bits, PageSize: 32768
model.embed_tokens.weight	frac:0.997 PageSize, bits=32664
model.layers.0.self_attn.q_proj.weight	frac:0.565 PageSize, bits=18507
model.layers.0.self_attn.k_proj.weight	frac:0.696 PageSize, bits=22819
model.layers.0.self_attn.v_proj.weight	frac:0.999 PageSize, bits=32741
model.layers.0.self_attn.o_proj.weight	frac:0.861 PageSize, bits=28209
model.layers.0.mlp.gate_proj.weight	frac:0.978 PageSize, bits=32059
model.layers.0.mlp.up_proj.weight	frac:0.971 PageSize, bits=31828
model.layers.0.mlp.down_proj.weight	frac:0.541 PageSize, bits=17715
model.layers.1.self_attn.q_proj.weight	frac:0.754 PageSize, bits=24700
model.layers.1.self_attn.k_proj.weight	frac:0.720 PageSize, bits=23589
model.layers.1.self_attn.v_proj.weight	frac:0.832 PageSize, bits=27274
model.layers.1.self_attn.o_proj.weight	frac:0.841 PageSize, bits=27571
model.layers.1.mlp.gate_proj.weight	frac:0.873 PageSize, bits=28616
model.layers.1.mlp.up_proj.weight	frac:0.629 PageSize, bits=20608
model.layers.1.mlp.down_proj.weight	frac:0.811 PageSize, bits=26581
model.layers.2.self_attn.q_proj.weight	frac:0.899 PageSize, bits=29474
model.layers.2.self_attn.k_proj.weight	frac:0.969 PageSize, bits=31751
model.layers.2.self_attn.v_proj.weight	frac:0.696 PageSize, bits=22808
model.layers.2.self_attn.o_proj.weight	frac:0.788 PageSize, bits=25822
model.layers.2.mlp.gate_proj.weight	frac:0.864 PageSize, bits=28297
model.layers.2.mlp.up_proj.weight	frac:0.966 PageSize, bits=31641
model.layers.2.mlp.down_proj.weight	frac:0.921 PageSize, bits=30178
model.layers.3.self_attn.q_proj.weight	frac:0.886 PageSize, bits=29023
model.layers.3.self_attn.k_proj.weight	frac:0.992 PageSize, bits=32521
model.layers.3.self_attn.v_proj.weight	frac:0.848 PageSize, bits=27780
model.layers.3.self_attn.o_proj.weight	frac:0.838 PageSize, bits=27450
model.layers.3.mlp.gate_proj.weight	frac:0.813 PageSize, bits=26636
model.layers.3.mlp.up_proj.weight	frac:0.964 PageSize, bits=31586
model.layers.3.mlp.down_proj.weight	frac:0.903 PageSize, bits=29595
model.layers.4.self_attn.q_proj.weight	frac:0.881 PageSize, bits=28858
model.layers.4.self_attn.k_proj.weight	frac:0.991 PageSize, bits=32488
model.layers.4.self_attn.v_proj.weight	frac:0.751 PageSize, bits=24623
model.layers.4.self_attn.o_proj.weight	frac:0.879 PageSize, bits=28792
model.layers.4.mlp.gate_proj.weight	frac:0.812 PageSize, bits=26603
model.layers.4.mlp.up_proj.weight	frac:0.955 PageSize, bits=31300
model.layers.4.mlp.down_proj.weight	frac:0.893 PageSize, bits=29254
model.layers.5.self_attn.q_proj.weight	frac:0.950 PageSize, bits=31124
model.layers.5.self_attn.k_proj.weight	frac:0.988 PageSize, bits=32367
model.layers.5.self_attn.v_proj.weight	frac:0.685 PageSize, bits=22445
model.layers.5.self_attn.o_proj.weight	frac:0.892 PageSize, bits=29243
model.layers.5.mlp.gate_proj.weight	frac:0.823 PageSize, bits=26977
model.layers.5.mlp.up_proj.weight	frac:0.962 PageSize, bits=31520
model.layers.5.mlp.down_proj.weight	frac:0.905 PageSize, bits=29650
model.layers.6.self_attn.q_proj.weight	frac:0.952 PageSize, bits=31190
model.layers.6.self_attn.k_proj.weight	frac:0.998 PageSize, bits=32697
model.layers.6.self_attn.v_proj.weight	frac:0.783 PageSize, bits=25657
model.layers.6.self_attn.o_proj.weight	frac:0.893 PageSize, bits=29276
model.layers.6.mlp.gate_proj.weight	frac:0.847 PageSize, bits=27758
model.layers.6.mlp.up_proj.weight	frac:0.961 PageSize, bits=31498
model.layers.6.mlp.down_proj.weight	frac:0.922 PageSize, bits=30200
model.layers.7.self_attn.q_proj.weight	frac:0.971 PageSize, bits=31828
model.layers.7.self_attn.k_proj.weight	frac:0.999 PageSize, bits=32719
model.layers.7.self_attn.v_proj.weight	frac:0.695 PageSize, bits=22775
model.layers.7.self_attn.o_proj.weight	frac:0.888 PageSize, bits=29111
model.layers.7.mlp.gate_proj.weight	frac:0.804 PageSize, bits=26361
model.layers.7.mlp.up_proj.weight	frac:0.965 PageSize, bits=31619
model.layers.7.mlp.down_proj.weight	frac:0.882 PageSize, bits=28902
model.layers.8.self_attn.q_proj.weight	frac:0.961 PageSize, bits=31487
